site,longitude,latitude
S01,118.537,31.893
S02,118.742,32.121
S03,118.95,32.182
S04,119.074,32.231
S05,119.37,32.215
S06,119.548,32.233
S07,119.626,32.2
S08,119.797,32.325
S09,119.852,32.273
S10,119.98,32.006
S11,120.256,31.942
S12,120.327,31.958
S13,120.492,32.036
S14,120.731,32.015
S15,120.819,31.97
S16,121.044,31.788
S17,121.121,31.739
S18,121.354,31.558
S19,121.776,31.699
